race_id,race_name,race_date,course,distance,surface,grade,horse_no,frame_no,horse_reg,horse_name,sex,birth_year,jockey,weight,career_starts,career_win_rate,jockey_win_rate,condition_aptitude,finish_position
1,レース0001,2025-03-24,東京,1400,DIRT,OP,1,1,H0000001,ウマ0001,牡,2020,加藤 楓,54.0,22,0.298,0.179,0.319,8
1,レース0001,2025-03-24,東京,1400,DIRT,OP,2,1,H0000002,ウマ0002,牝,2022,伊藤 翼,58.0,28,0.146,0.163,0.57,6
1,レース0001,2025-03-24,東京,1400,DIRT,OP,3,2,H0000003,ウマ0003,牝,2020,鈴木 花子,56.0,15,0.283,0.068,0.651,4
1,レース0001,2025-03-24,東京,1400,DIRT,OP,4,2,H0000004,ウマ0004,牡,2022,小林 蓮,58.0,20,0.26,0.21,0.749,3
1,レース0001,2025-03-24,東京,1400,DIRT,OP,5,3,H0000005,ウマ0005,牝,2022,高橋 大輔,58.0,25,0.324,0.21,0.682,2
1,レース0001,2025-03-24,東京,1400,DIRT,OP,6,3,H0000006,ウマ0006,牡,2020,中村 駿,56.0,11,0.216,0.197,0.662,1
1,レース0001,2025-03-24,東京,1400,DIRT,OP,7,4,H0000007,ウマ0007,セ,2022,鈴木 花子,56.0,22,0.017,0.157,0.638,7
1,レース0001,2025-03-24,東京,1400,DIRT,OP,8,4,H0000008,ウマ0008,牝,2021,加藤 楓,55.0,10,0.252,0.089,0.383,9
1,レース0001,2025-03-24,東京,1400,DIRT,OP,9,5,H0000009,ウマ0009,牝,2021,鈴木 花子,54.0,9,0.111,0.042,0.571,5
2,レース0002,2025-03-09,中山,1800,DIRT,未勝利,1,1,H0000010,ウマ0010,セ,2021,山本 陽,58.0,15,0.116,0.183,0.779,6
2,レース0002,2025-03-09,中山,1800,DIRT,未勝利,2,1,H0000011,ウマ0011,牡,2022,佐藤 健,54.0,28,0.0,0.261,0.686,3
2,レース0002,2025-03-09,中山,1800,DIRT,未勝利,3,2,H0000012,ウマ0012,牝,2022,伊藤 翼,57.0,20,0.26,0.102,0.33,12
2,レース0002,2025-03-09,中山,1800,DIRT,未勝利,4,2,H0000013,ウマ0013,セ,2021,鈴木 花子,58.0,12,0.189,0.124,0.5,7
2,レース0002,2025-03-09,中山,1800,DIRT,未勝利,5,3,H0000014,ウマ0014,牡,2022,鈴木 花子,56.0,30,0.046,0.08,0.629,4
2,レース0002,2025-03-09,中山,1800,DIRT,未勝利,6,3,H0000015,ウマ0015,セ,2022,田中 一郎,56.0,22,0.058,0.062,0.43,13
2,レース0002,2025-03-09,中山,1800,DIRT,未勝利,7,4,H0000016,ウマ0016,牝,2020,田中 一郎,56.0,10,0.177,0.126,0.582,2
2,レース0002,2025-03-09,中山,1800,DIRT,未勝利,8,4,H0000017,ウマ0017,セ,2020,佐藤 健,54.0,24,0.337,0.046,0.728,1
